,keys,cluster_num
1822,native_aspect_ratio,127
423,aspect_ratio,127
467,image_aspect_ratio,127
759,bluetooth_enabled,128
1790,wireless_bluetooth,128
1945,bluetooth_compatible,128
1181,bluetooth_version,128
426,bluetooth,128
1621,number_of_labels_per_sheetroll,129
438,number_of_sheets_per_pad,129
1270,number_of_sheets,129
903,sheets_per_unit,129
1060,operating_systems,130
2046,operating_system_edition,130
445,operating_system,130
1665,unit_system,131
962,unit_of_measure,131
1341,units,131
450,unit_type,131
1307,unit,131
2112,top_thickness,132
454,thickness,132
1489,top_size,132
461,included_accessories,133
1544,accessories,133
1880,accessories_included,133
464,qty,134
1959,pkg_qty,134
1889,included_qty,134
1636,package_qty,134
580,max_speed,135
947,top_speed,135
1851,number_of_speeds,135
1823,number_of_fan_speeds,135
1308,speed,135
466,max_turbo_speed,135
474,backlight,136
493,backlight_technology,136
1719,height_rack_units,137
478,rack_height,137
850,new,138
480,newused,138
494,label,139
1623,label_features,139
1622,label_format,139
1624,label_type,139
1625,label_use,139
2001,label_size,139
498,camera_resolution,140
1246,video_format,140
1934,video_capture_format,140
1888,video_capture_resolution,140
703,cpu,141
499,processor,141
1474,shelves_included,142
1432,number_of_fresh_food_shelves,142
1428,number_of_freezer_shelves,142
799,number_of_shelves,142
1402,adjustable_shelves,142
561,shelf_count,142
2012,number_of_refrigerator_shelves,142
1096,no_of_shelves,142
508,shelf_quantity,142
655,number_of_adjustable_shelves,142
656,total_number_of_shelves,142
2047,removable_shelves,142
921,sim_card_type,143
509,sim_type,143
777,sim_type_dual_sim,143
592,number_of_bulbs_required,144
512,number_of_bulbs,144
1293,overall_crash_safety_rating,145
513,safety_rating,145
1806,light,146
514,light_source,146
517,driver_vanity_mirror,147
1751,passenger_vanity_mirror,147
522,four_wheel_independent_suspension,148
1883,suspension_type-rear,148
1800,front_suspension_type,148
1921,independent_front_suspension,148
1882,suspension_type-front,148
672,airbags-side_for_1st_row_occupants_front,149
524,dual_front_side_impact_airbags,149
1988,dual_front_impact_airbags,149
528,power_door_mirrors,150
1283,door_mirrors,150
673,adjustable_steering_col-tilt_reach,151
1139,adjustable_forward_tilt,151
1132,adjustable_tilt_tension,151
530,tilt_steering_wheel,151
1134,adjustable_tilt_angle,151
1811,memory,152
545,memory_technology,152
1201,graphics_memory_technology,152
898,rated,153
546,rating,153
936,current_rating,153
2043,shirt,154
553,t-shirt,154
562,service_support,155
641,support_details_service_included,155
1736,service_support_details,155
564,device_type,156
1927,pointing_device_type,156
968,device_types,156
2037,o,157
565,oalength,157
566,shank_size,158
1015,shank_diameter,158
1840,engine_torque_at,159
577,torque,159
1000,engine_torque,159
769,luggage_capacity_seats_up,160
1152,luggage_capacity_seats_down,160
578,luggage_capacity_min,160
579,luggage_capacity_max,160
1478,bulb_wattage,161
589,maximum_bulb_wattage,161
585,maximum_wattage_watts,161
1296,wattage_watts,161
854,wattage,161
1147,tier,162
587,number_of_tiers,162
603,number_of_drawers,163
1373,drawer_quantity,163
784,minimum_order,164
1070,min_order,164
611,minimum_order_quantity,164
1189,sleeve_style,165
1408,sleeves,165
1780,sleeve,165
897,sleeve_type,165
617,sleeve_length,165
618,expandable,166
2068,expanding,166
619,locking,167
1454,lockable,167
915,garage_spaces,168
627,garage,168
628,connector_on_second_end,169
629,connector_on_first_end,169
635,coolant_through,170
809,coolant_thru,170
1124,coolant,170
637,levelers,171
837,level,171
649,speakers,172
1640,speaker,172
651,washable,173
868,machine_wash_safe,173
1044,machine_washable,173
659,handle_type,174
1233,control_type,174
662,engine_power,175
1419,engine_power_at,175
665,ground_clearance,176
1333,min_ground_clearance_in,176
667,0-100_kmh,177
1841,0-60mph,177
1842,0-60,177
668,control-traction,178
1251,traction_control,178
2035,fireplaces,179
678,fireplace,179
680,green_certified,180
797,green_certification_or_other_recognition,180
684,optical_drive_type,181
731,optical_drive,181
773,ul,182
685,ul_listed,182
689,dial_color,183
1975,dial_colour,183
697,cylinder_layout,184
832,cylinder_configuration,184
704,media_type,185
1600,media_type_supported,185
1198,compatible_devices,186
706,device_supported,186
711,enclosure,187
1150,enclosure_type,187
1021,production_lead_time,188
714,lead_time,188
1560,delivery_lead_time,188
724,delivery_time,188
716,lamp_type,189
1219,with_lamp,189
721,manufacturer,190
1958,supplier,190
1357,monitor_type,191
2096,display_types,191
739,display_technology,191
1835,display_screen_technology,191
1216,display_type,191
847,display_screen_type,191
1591,screen_type,191
1376,mid_sole_material,192
740,sole_material,192
2088,edges,193
745,edge,193
748,radio,194
1725,fm_radio,194
751,4g,195
1781,3g,195
758,flash,196
1856,flash_control,196
1081,ports,197
768,port,197
1795,rear_brake_type,198
1797,front_brake_type,198
782,brake_type,198
1942,pack_of,199
886,pack_of_,199
786,pieces_per_pack,199
953,standard_pack,199
1517,lamp_colour_temperature,200
787,lamp_colour_code,200
1555,icemaker,201
804,ice_maker,201
1090,reversible_doors,202
806,reversible_door,202
807,cabinet_color,203
1430,color-appliance_cabinet,203
810,point_angle,204
1833,angle,204
2084,input_type,205
822,audio_output,205
1212,audio_output_type,205
1604,output_type,205
824,usb_30,206
1164,usb_20,206
836,operating_temperature,207
1747,operating_temperature_t-t,207
901,chair_height_type,208
900,chair_features,208
899,chair_design,208
840,chair_type,208
862,drive_wheels,209
945,wheel_drive,209
864,metals_type,210
1123,metal_type,210
875,check_in_time,211
876,check_out_time,211
1467,processor_count,212
880,number_of_processors_supported,212
885,packing_type,213
1634,packing_configuration,213
1854,product_selling_unit,214
887,product_selling_unit_,214
894,us_shoe_size_womens,215
1973,us_shoe_size_mens,215
895,vehicle_type,216
2072,car_type,216
950,vehicle_sub_type,216
904,adhesive,217
1257,adhesive_material,217
1815,adhesive_type,217
905,delivery_fob_port,218
1765,fob_port,218
913,sound_mode,219
1505,sound_output_mode,219
1964,number_of_memory_slots,220
1205,number_of_total_expansion_slots,220
978,expansion_slot_type,220
1204,number_of_total_memory_slots,220
1782,card_slot,220
918,expansion_slots,220
1304,memory_slots,220
1076,memory_card_slot,220
1323,memory_card_supported,220
1059,memory_card_reader,220
2089,fit_design,221
920,fit,221
1477,fit_type,221
1468,functions,222
929,function,222
1049,number_of_faucet_handles,223
938,number_of_faucet_holes,223
1710,faucet_hole_spacing_in,223
1326,sink_type,224
1655,sink_material,224
939,sink_shape,224
1654,sink_finish_type,224
1377,boot_capacity,225
943,boot_capacity-litres,225
949,protection_type,226
1220,protection_class,226
955,annual_tax,227
1384,tax_year,227
1367,head_type,228
972,head_style,228
1813,mp3_decoder,229
975,audio-mp3_decoder,229
1870,insert_size,230
993,insert_thickness,230
1002,interior_cargo_volume,231
1005,interior_maximum_cargo_volume,231
1004,engine_horsepower,232
1294,horsepower,232
1876,bolt_hole_ø,233
1012,bolt_hole_1,233
1013,bolt_hole_2,233
1760,neckline,234
1016,neck,234
1266,neck_shape,234
1962,stock_status,235
1023,current_stock,235
1030,texture,236
2010,textured,236
1035,humidity_range_operating,237
2105,operating_humidity_range,237
1038,orientation,238
1999,hand_orientation,238
1040,fabric_care,239
1207,garment_care,239
1041,arm_style,240
1675,arm_type,240
1048,valve_material,241
1799,valve_configuration,241
1056,graphics_type,242
1716,graphics_processing_type,242
1058,integrated_speakers,243
1943,built-in_speakers,243
1082,counter_depth,244
1427,counter_depth_yesno,244
1553,shelf_type,245
1596,shelf_material,245
1436,shelf_material-freezer,245
1085,type_of_shelves,245
1575,automatic_temperature_control,246
1434,temperature_control_type,246
1093,digital_temperature_control,246
1917,hinge_type,247
1094,hinge_side,247
1099,product_family_code,248
2039,product_family,248
1120,s-mm,249
1118,d1-mm,249
1117,d-mm,249
1136,chair_back_material,250
1128,chair_back_style,250
1156,expanded_iso_maximum,251
1237,expanded_iso_minimum,251
1903,extended_iso,251
1938,flash_memory_type,252
1986,flash_memory_size,252
1158,flash_type,252
1700,image_sensor,253
1309,sensor_type,253
1951,image_sensor_type,253
1314,sensor_format,253
1159,photo_sensor_technology,253
1160,optical_sensor_resolution,254
1542,optical_resolution,254
1168,optical_sensor_technology,254
1162,minimum_shutter_speed,255
1161,maximum_shutter_speed,255
1169,external_temperature_display,256
1814,outside_temperature_display,256
1190,size_womens,257
1614,size_mens,257
1961,mfr,258
1192,mfrvendor,258
1472,compliance_standards,259
1211,compliant_standards,259
1890,outsole_material,260
1916,outsole,260
1224,insole,260
1348,decoration,261
1242,decorative,261
1379,sheet_size,262
1245,sheet_capacity,262
1249,electronic_stability,263
1852,control-electronic_stability,263
1261,horizontal_viewing_angle,264
1262,vertical_viewing_angle,264
1265,fingerboard_material,265
1372,fingerboard,265
1272,points,266
1690,point,266
1353,cordless,267
1276,cordless_corded,267
1297,delivery,268
1459,delivery_method,268
1924,dresses_length,269
1400,dress_length,269
2070,clothing_length,269
1981,manufacturers_guarantee,270
1425,manufacturer_guarantee,270
1745,water_dispenser,271
1763,ice_dispenser,271
1426,icewater_dispenser,271
1431,energy_efficiency_tier_rating,272
2006,energy_efficiency_class,272
1925,page_yield,273
1469,page-yield,273
1864,ðœðñðµñððð_ðºðñðñƒñð,274
