,unique_key,clus_num
1029,details,c2
1032,in,c2
1035,operator_type,c2
1039,ul,c2
1040,csa,c2
1044,operator_action,c2
1048,objective,c2
1054,eye_relief,c2
1057,uv_protected,c2
1059,frame_size,c2
1061,knob_type,c2
1064,number_of_positions,c2
1067,stock_status,c2
1068,y,c2
1069,group,c2
1070,-gender,c2
1071,base,c2
1072,proofs,c2
1073,targeted_group,c2
1074,point_type,c20
1084,pocket_clip,c20
1092,refillable,c20
1101,retractable,c20
1107,ink_type,c20
1113,grip_type,c20
1118,iso_mc,c22
1124,application_material_classification,c22
1134,clearance,c22
1139,radio,c23
1141,gprs,c23
1142,browser,c23
1144,java,c23
1146,resolution,c23
1147,sim,c23
1148,diameter,c24
1149,spout_type,c24
1152,essential_properties,c24
1153,handles,c24
1154,valve_included,c24
1155,drain_included,c24
1157,installation,c24
1158,frame_type,c24
1164,framehardware_finish_family,c24
1169,handle_style,c24
1174,handle_finish,c24
1179,drain_location,c24
1180,content,c25
1186,coverage_area_sq_ft,c26
1198,paintstain_clean_up,c26
1211,sheen,c26
1224,dry_to_touch_min,c26
1236,paintstain_key_features,c26
1245,time_before_recoating_hours,c26
1258,container_size,c26
1270,tint_base,c26
1283,offset,c27
1294,hub,c27
1306,bolt_pattern,c27
1314,end_type,c27
1315,flutes,c27
1316,number_of_modules,c3
1321,cas_latency,c3
1326,signal_processing,c3
1335,memory_voltage,c3
1339,error_checking,c3
1344,applicationusage,c3
1345,upgrade_type,c3
1347,memory_interface,c3
1353,rohs_compliance,c3
1354,media_type,c3
1355,enclosure,c4
1363,software_included,c4
1365,buffer,c4
1369,rotational_speed,c4
1372,contents,c4
1374,beam_spread,c5
1376,connection_type,c5
1377,number_of_bulbs,c5
1378,included,c5
1379,pixel_density,c6
1380,ingress_protection_code,c8
1395,connection,c8
1406,lamp_power_w,c8
1407,optical_coverlens_type,c8
1422,lamp_colour_code,c8
1437,glow-wire_test,c8
1452,number_of_light_sources,c8
1466,flammability_mark,c8
1476,protection_class_iec,c8
1492,mech_impact_protection_code,c8
1507,packs_per_outerbox,c8
1523,driverpower_unittransformer,c8
1536,driver_failure_rate_at_5000_h_,c8
1550,cable,c8
1552,maximum_dim_level,c8
1566,suitable_for_random_switching,c8
1580,low_temp_range_f,c8
1595,ul_mark,c8
1596,lamp_family_code,c8
1603,earpiece_design,c9
1608,package_contents,d10
1609,brakes,d14
1610,suspension,d14
1611,steering,d14
1612,seats_and_trim,d14
1613,audio_auxiliary_input,d14
1614,polar_pattern,d15
1618,bristle_material,d16
1619,listing_type,d17
1620,dial_shape,d3
1621,strap_color,d3
1624,strap_type,d3
1627,unknown,d4
1628,red,d4
1629,power_options,d4
1630,product_specscondition,d6
1632,truss_rod,d6
1635,neck_wood,d6
1639,number_of_frets,d6
1646,neck_finish,d6
1651,fingerboard,d6
1662,neck_material,d6
1667,bridge,d6
1668,top,d6
1670,hardware,d6
1673,case_included,d6
1674,dexterity,d6
1676,body_finish,d6
1681,fret_size,d6
1683,neck,d6
1686,nut_width,d6
1688,blue,d8
1690,manual,d8
1691,expansion,e1
1696,bore_type,e1
1699,part_number,f103.0
1719,phase,f106.0
1730,publication_date,f120.0
1745,published,f121.0
1755,select_a_size,f143.0
1765,size_type,f146.0
1778,waist,f147.0
1797,us,f147.0
1816,wash_care,f178.0
1841,browse_similar_products_by_category,f18.0
1851,x-large,f183.0
1863,care_instruction,f26.0
1875,age_of_oldest_child,f3.0
1928,number_of_kids,f3.0
1981,copyright,f36.0
2001,dishwasher,f42.0
2012,portable,f42.0
2023,fabric,f45.0
2035,fabric_care,f46.0
2046,hazmat,f64.0
2058,heel_height,f65.0
2071,length_of_ownership,f75.0
2084,frequency_of_use,f75.0
2097,measurements,f78.0
2164,moq,f82.0
2178,number_of_boxes,f88.0
2192,orig_year,f92.0
